Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2015-11-21,@ FLA,0,1,1,1,4,0,0,0,0,0,0,0,11:33,21,2015,201516,0,11:33,11:33,693,FLA,FLA
2015-11-23,vs NSH,0,0,0,0,2,0,0,0,0,0,0,0,9:08,13,2015,201516,1,9:08,9:08,548,NSH,NSH
2015-11-25,vs MTL,0,0,0,0,0,0,0,0,0,0,0,1,12:17,17,2015,201516,1,12:17,12:17,737,MTL,MTL
2015-11-27,@ BOS,1,1,2,-1,0,1,1,0,0,0,0,3,11:09,18,2015,201516,0,11:09,11:09,669,BOS,BOS
2015-11-28,vs PHI,0,0,0,-2,0,0,0,0,0,0,0,1,14:14,20,2015,201516,1,14:14,14:14,854,PHI,PHI
2015-11-30,vs CAR,0,0,0,-1,0,0,0,0,0,0,0,2,8:34,15,2015,201516,1,8:34,8:34,514,CAR,CAR
2015-12-02,@ NYI,0,0,0,0,0,0,0,0,0,0,0,5,13:01,19,2015,201516,0,13:01,13:01,781,NYI,NYI
2015-12-03,vs COL,0,0,0,0,0,0,0,0,0,0,0,2,12:00,18,2015,201516,1,12:00,12:00,720,COL,COL
2015-12-06,vs OTT,0,0,0,0,2,0,0,0,0,0,0,1,11:38,17,2015,201516,1,11:38,11:38,698,OTT,OTT
2015-12-09,@ VAN,0,0,0,0,0,0,0,0,0,0,0,2,13:21,19,2015,201516,0,13:21,13:21,801,VAN,VAN
2015-12-11,@ EDM,0,0,0,1,2,0,0,0,0,0,0,3,14:44,24,2015,201516,0,14:44,14:44,884,EDM,EDM
2015-12-12,@ CGY,1,1,2,1,0,0,0,0,0,0,0,1,13:42,20,2015,201516,0,13:42,13:42,822,CGY,CGY
2015-12-15,vs EDM,0,0,0,0,2,0,0,0,0,0,0,2,13:01,18,2015,201516,1,13:01,13:01,781,EDM,EDM
2015-12-17,@ MIN,0,1,1,0,0,0,0,0,0,0,0,2,15:37,21,2015,201516,0,15:37,15:37,937,MIN,MIN
2015-12-18,@ WPG,1,0,1,1,0,0,0,0,0,0,0,1,12:57,19,2015,201516,0,12:57,12:57,777,WPG,WPG
2015-12-20,vs WSH,1,0,1,0,0,0,0,0,0,0,0,1,15:30,21,2015,201516,1,15:30,15:30,930,WSH,WSH
2015-12-22,vs ANA,0,0,0,0,5,0,0,0,0,0,0,1,10:23,16,2015,201516,1,10:23,10:23,623,ANA,ANA
2015-12-28,@ NSH,1,0,1,0,0,0,0,0,0,0,0,1,15:34,19,2015,201516,0,15:34,15:34,934,NSH,NSH
